Save Time :22/06/2026 16:15:50																																																																							
User Name :gustavo.diaz																																																																							
																																																																							
Time	gNodeB Name	Cell Name	NR Cell ID	gNodeB Function Name	Integrity	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RAProblem	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RlcMaxNumRetx	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RecfgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.SyncRecfgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.T310Expiry	N.NsaDc.SgNB.AbnormRel	N.NsaDc.SgNB.AbnormRel.NoReply	N.NsaDc.SgNB.AbnormRel.Radio	N.NsaDc.SgNB.AbnormRel.Radio.UeLost	N.NsaDc.SgNB.AbnormRel.Radio.ULSyncFail	N.NsaDc.SgNB.AbnormRel.Radio.SUL	N.NsaDc.SgNB.AbnormRel.RNL.Preempt	N.NsaDc.SgNB.AbnormRel.Trans	N.RA.TA.UE.Index0	N.RA.TA.UE.Index1	N.RA.TA.UE.Index2	N.RA.TA.UE.Index3	N.RA.TA.UE.Index4	N.RA.TA.UE.Index5	N.RA.TA.UE.Index6	N.RA.TA.UE.Index7	N.RA.TA.UE.Index8	N.RA.TA.UE.Index9	N.RA.TA.UE.Index10	N.RA.TA.UE.Index11	N.RA.TA.UE.Index12	N.RA.TA.UE.Index13	N.RA.TA.UE.Index14	N.RA.TA.UE.Index15	N.MeasRpt.RSRP.Index0	N.MeasRpt.RSRP.Index1	N.MeasRpt.RSRP.Index2	N.MeasRpt.RSRP.Index3	N.MeasRpt.RSRP.Index4	N.MeasRpt.RSRP.Index5	N.MeasRpt.RSRP.Index6	N.MeasRpt.RSRP.Index7	N.MeasRpt.RSRP.Index8	N.MeasRpt.RSRP.Index9	N.UL.PUSCH.RSRP.Index0	N.UL.PUSCH.RSRP.Index1	N.UL.PUSCH.RSRP.Index2	N.UL.PUSCH.RSRP.Index3	N.UL.PUSCH.RSRP.Index4	N.UL.PUSCH.RSRP.Index5	N.UL.PUSCH.RSRP.Index6	N.UL.PUSCH.RSRP.Index7	N.UL.PUSCH.RSRP.Index8	N.UL.PUSCH.RSRP.Index9	N.UL.PUSCH.RSRP.Index10	N.UL.PUSCH.RSRP.Index11	N.MeasRpts.SINR.Index0	N.MeasRpts.SINR.Index1	N.MeasRpts.SINR.Index2	N.MeasRpts.SINR.Index3	N.MeasRpts.SINR.Index4	N.UL.PUSCH.SINR.Index0	N.UL.PUSCH.SINR.Index1	N.UL.PUSCH.SINR.Index2	N.UL.PUSCH.SINR.Index3	N.UL.PUSCH.SINR.Index4	N.UL.PUSCH.SINR.Index5	N.UL.PUSCH.SINR.Index6	N.UL.PUSCH.SINR.Index7	N.NsaDc.SgNB.Rel
24/05/2026 0:00	MBTS_AR3909_AZANGARO	ARR39093C1_Azangaro	2	ARR3909_AZANGARO	100%	1203	1087	3	0	17	96	1	0	1	1	0	0	0	0	196	1523	6042	4364	642	1338	182	0	0	0	0	0	0	0	0	0	10	160	2563	3129	20964	0	0	0	0	0	6749	3001	10860	15115	13658	11688	6186	859	85	18	3	0	37	388	2978	8300	15123	5657	1419	3339	9880	12455	13246	10349	11877	12355
24/05/2026 0:00	MBTS_AR3909_AZANGARO	ARR39092C1_Azangaro	1	ARR3909_AZANGARO	100%	10793	10467	9	0	70	247	7	0	6	6	0	0	0	0	1521	2551	10456	7932	3285	10786	12828	0	0	0	0	0	0	0	0	0	22	637	10508	14535	47023	0	0	0	0	0	34158	14310	19528	21450	14083	12917	10437	2796	636	133	16	0	182	3620	14988	31295	22640	23940	9975	13204	18054	19194	13727	11853	20517	50046
24/05/2026 0:00	MBTS_AR3909_AZANGARO	ARR39091C1_Azangaro	0	ARR3909_AZANGARO	100%	3318	2964	4	0	58	292	26	0	26	26	0	0	0	0	917	2442	14867	22486	10835	2654	942	0	0	0	0	0	0	0	0	0	27	519	9497	17159	53664	0	0	0	0	0	27710	9163	15113	21133	22955	16055	7830	2870	564	109	2	0	93	1523	11085	36630	31535	14720	5395	8178	13516	17667	22867	17800	23361	50234
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40311C3_Moran_Uribe	12	ARD4031_Moran_Uribe	100%	49	2	1	0	1	45	2	0	2	2	0	0	0	0	359	742	1057	103	8	0	0	0	0	0	0	0	0	0	0	0	1	0	73	268	3498	0	0	0	0	0	2122	1839	9091	8527	3238	1151	711	279	62	27	8	0	6	77	487	1249	2021	694	1246	2121	4369	8046	6128	2443	2008	2129
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40312C3_Moran_Uribe	13	ARD4031_Moran_Uribe	100%	12	8	0	0	0	4	0	0	0	0	0	0	0	0	400	370	116	26	3	0	0	0	0	0	0	0	0	0	0	0	0	1	21	87	1467	0	0	0	0	0	798	698	1413	4362	5558	1387	424	378	454	90	20	0	9	66	279	481	741	366	380	587	1170	2519	4606	3528	2426	768
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40313C3_Moran_Uribe	14	ARD4031_Moran_Uribe	100%	199	50	5	0	33	111	11	0	11	11	0	0	0	0	543	565	4922	490	882	3	0	0	0	0	0	0	0	0	0	0	4	10	143	1002	9770	0	0	0	0	0	14032	7240	9705	6410	2602	503	132	50	28	13	1	0	145	363	1044	6091	3286	8779	6078	6521	7252	6353	3655	1425	653	7275
24/05/2026 0:00	MBTS_AR3855_PARRA	ARR38554C1_Parra	6	ARR3855_PARRA	100%	4057	3358	1	0	242	456	7	0	6	6	0	0	0	0	295	542	11147	11422	5683	3292	2543	0	0	0	0	0	0	0	0	0	6	216	2952	6316	46364	0	0	0	0	0	24353	18146	14693	15993	18136	17094	9175	2589	614	123	21	2	71	1485	4830	19415	30053	13106	3260	12609	13809	15359	18050	17832	26914	31784
24/05/2026 0:00	MBTS_AR3855_PARRA	ARR38552C1_Parra	1	ARR3855_PARRA	100%	1781	1207	1	0	64	509	9	0	8	8	0	0	0	0	794	1276	14370	8117	18614	5854	1335	0	0	0	0	0	0	0	0	0	26	509	6694	9264	55782	0	0	0	0	0	14747	7806	15520	23034	23398	16149	5949	1504	347	56	1	0	224	3584	10259	28405	29803	5532	3724	6794	13553	20491	21589	20952	15876	41358
24/05/2026 0:00	MBTS_AR3855_PARRA	ARR38551C1_Parra	0	ARR3855_PARRA	100%	2491	2160	5	0	16	310	67	0	67	67	0	0	0	0	326	688	4840	16442	11134	201	583	0	0	0	0	0	0	0	0	0	3	56	1558	7140	38137	0	0	0	0	0	22823	9786	11789	12905	13264	8232	3931	1255	436	53	6	1	27	573	3897	22409	19988	18777	6058	7188	10020	12281	12601	8839	8717	30686
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40313C1_Moran_Uribe	2	ARD4031_Moran_Uribe	100%	1593	1136	2	0	28	427	0	0	0	0	0	0	0	0	573	367	3317	18935	10389	7031	617	0	0	0	0	0	0	0	0	0	29	502	4926	10712	48870	0	0	0	0	0	16882	8696	14145	14563	23702	11869	3255	1418	394	102	7	0	429	1857	8688	20323	33742	8559	5174	7029	10799	11360	15277	21809	15026	35038
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40312C1_Moran_Uribe	1	ARD4031_Moran_Uribe	100%	21510	20779	6	0	63	662	13	0	11	11	0	0	0	0	1066	1182	12323	18196	19829	9127	1519	0	0	0	0	0	0	0	0	0	34	506	8069	16818	71372	0	0	0	0	0	53156	13608	15500	16220	15638	11083	3884	851	262	55	1	0	105	2737	9848	39257	44495	46225	9545	10711	12849	12619	14034	12563	11712	73806
24/05/2026 0:00	MBTS_AR4031_MORAN_URIBE	ARR40311C1_Moran_Uribe	0	ARD4031_Moran_Uribe	100%	11207	10022	1	0	234	950	22	0	22	22	0	0	0	0	1146	1810	12670	19474	23832	8475	1215	0	0	0	0	0	0	0	0	0	37	747	9628	21100	82078	0	0	0	0	0	34083	11393	16421	21472	24205	11685	4023	1104	259	64	13	1	88	1206	7726	45572	58998	27532	7690	10340	14160	22419	21665	13816	7101	72797
24/05/2026 0:00	MBTS_AR3889_MELGAR	ARR38893C1_Melgar	2	ARR3889_Melgar	100%	5190	4696	2	0	58	434	3	0	3	3	0	0	0	0	891	839	5620	3473	1092	5651	6375	0	0	0	0	0	0	0	0	0	20	281	3066	4827	25135	0	0	0	0	0	15465	10442	15305	13681	16010	13561	8345	2246	327	59	5	8	82	1635	6971	15047	9594	13922	7639	8484	13279	11527	13656	12538	14409	20541
24/05/2026 0:00	MBTS_AR3889_MELGAR	ARR38892C1_Melgar	1	ARR3889_Melgar	100%	2277	2148	0	0	27	102	1	0	1	1	0	0	0	0	251	129	1990	1835	1070	720	167	0	0	0	0	0	0	0	0	0	1	23	910	694	6404	0	0	0	0	0	5739	2131	2824	12638	20497	8776	4991	1004	191	37	2	0	25	313	1041	3689	2964	4924	1252	1738	4703	12838	17297	9059	7019	5566
24/05/2026 0:00	MBTS_AR3889_MELGAR	ARR38891C1_Melgar	0	ARR3889_Melgar	100%	665	446	0	1	24	194	1	0	1	1	0	0	0	0	87	1130	3602	6866	6031	248	135	0	0	0	0	0	0	0	0	0	10	154	3529	7008	16000	0	0	0	0	0	6796	9381	9297	16577	13712	23126	5464	583	62	5	1	0	36	1204	5774	13677	6010	1737	2087	8503	7314	11747	15174	11513	26929	15180
